fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-06-08 03:20:00,22067.553,22016.117,21977.342,21945.75,21963.338,21991.297,22038.936,22111.604,22211.5,22330.436,22450.396,22649.135,22830.914,23024.398,23245.139,23461.254,23717.504,23973.436,24229.479,24499.17,24788.863,25071.094,25369.014,25607.652
2015-06-08 03:30:00,22050.477,22015.773,21996.117,21981.559,22020.344,22068.424,22138.676,22235.395,22358.549,22503.82,22645.53,22866.258,23073.66,23290.0,23534.78,23770.193,24052.094,24323.852,24600.67,24887.39,25189.93,25490.068,25800.814,26045.816
2015-06-08 03:40:00,22054.197,22037.709,22038.852,22042.934,22104.023,22173.25,22266.986,22388.576,22535.31,22707.438,22871.36,23113.434,23346.125,23584.65,23852.707,24106.83,24412.738,24699.07,24995.08,25297.406,25610.713,25926.754,26247.879,26497.861
2015-06-08 03:50:00,22079.268,22082.268,22105.732,22129.91,22214.176,22305.307,22423.152,22570.1,22740.465,22939.615,23125.938,23388.354,23645.654,23905.26,24195.424,24467.44,24795.24,25094.621,25407.924,25724.031,26045.732,26375.354,26704.133,26957.537
2015-06-08 04:00:00,22126.254,22149.9,22197.0,22242.578,22350.674,22464.281,22606.592,22779.1,22972.867,23198.889,23407.559,23689.053,23969.932,24249.223,24559.986,24848.832,25196.031,25506.732,25835.072,26162.93,26490.463,26831.027,27164.527,27419.705
2015-06-08 04:10:00,22195.21,22240.424,22312.2,22380.266,22512.535,22648.879,22815.7,23013.59,23230.203,23482.537,23713.19,24012.158,24315.193,24612.363,24941.816,25246.182,25609.863,25929.912,26270.73,26607.967,26938.562,27287.152,27622.244,27877.412
2015-06-08 04:20:00,22286.178,22353.705,22450.883,22542.287,22698.79,22857.895,23048.932,23271.693,23510.28,23787.992,24039.986,24354.578,24677.979,24990.951,25336.87,25655.182,26032.115,26359.371,26709.824,27053.893,27384.682,27738.129,28071.572,28324.906
2015-06-08 04:30:00,22398.39,22488.6,22611.512,22726.764,22907.121,23088.543,23303.129,23549.746,23809.02,24110.676,24382.98,24710.928,25052.479,25378.678,25738.422,26068.852,26455.414,26787.469,27144.518,27492.443,27820.424,28175.361,28503.832,28753.377
2015-06-08 04:40:00,22531.162,22644.139,22792.67,22931.922,23135.365,23338.312,23575.377,23844.408,24122.715,24446.418,24737.674,25076.443,25433.557,25770.123,26140.756,26481.193,26873.547,27207.85,27568.262,27916.934,28239.115,28592.02,28912.215,29156.043
2015-06-08 04:50:00,22683.965,22819.541,22993.121,23156.184,23381.574,23604.97,23863.06,24152.725,24448.09,24791.555,25100.102,25447.03,25816.795,26160.773,26539.17,26887.266,27281.494,27615.434,27975.87,28322.19,28635.732,28983.01,29291.75,29528.027
2015-06-08 05:00:00,22855.611,23013.2,23210.79,23397.049,23642.793,23885.105,24162.404,24470.47,24780.566,25141.062,25464.898,25817.062,26196.285,26544.441,26927.264,27280.473,27672.555,28003.43,28360.564,28701.281,29003.455,29341.533,29635.799,29862.732
2015-06-08 05:10:00,23045.08,23223.766,23443.852,23652.287,23916.412,24175.79,24470.135,24794.03,25116.27,25490.703,25827.553,26181.953,26567.234,26916.303,27300.139,27655.748,28041.75,28366.883,28717.463,29049.43,29337.764,29663.188,29940.23,30156.2
2015-06-08 05:20:00,23252.176,23450.934,23691.639,23920.953,24201.3,24475.871,24784.865,25121.973,25453.678,25838.865,26186.344,26540.26,26928.174,27275.307,27656.94,28012.164,28388.518,28705.49,29046.365,29367.012,29639.508,29949.03,30206.5,30410.22
